claim_id,claim_text,claim_type,source_or_experiment,method,metric,result_file,figure,scope,caveat,status
scope-001,"A solver, tracker, controller, or dataset alone is not a complete human-to-G1 retargeter.",scope,first-party documented I/O,multiple,,research/human_to_g1_method_matrix.csv,,Stage 0 taxonomy,Classification is revision-specific.,supported
hist-gmr-scale,"Frozen GMR uses a 0.9 Hips scale multiplied by 1.75/1.8, yielding root scale 0.875.",historical,official GMR loader and configuration,GMR,declared native root scale,manifests/evaluator.yaml,,frozen commit,"This is a policy choice, not robot geometry calibration.",supported
hist-omni-scale,Frozen Holosoma LAFAN uses default_scale_factor 1.27/1.7.,historical,official Holosoma configuration,OmniRetarget,declared native root scale,manifests/evaluator.yaml,,frozen commit,This is separate from the common evaluator scale.,supported
hist-proto-v3,"ProtoMotions v3 replaces the earlier sequential Mink retargeter with a trajectory-level PyRoki/JAX pipeline while also changing preprocessing, targets, contacts, and limits.",historical,official ProtoMotions README and retargeting workflow,ProtoMotions v3,,research/sources.md,,frozen v3 checkout,The v2/v3 pair is not a pure backend ablation.,supported
hist-proto-v2,ProtoMotions v2.3 is a 29-DoF G1 sequential Mink retargeter using PHC-derived preprocessing and FK infrastructure.,historical,official ProtoMotions v2.3 tag,ProtoMotions v2.3,,research/OFFICIAL_SCALE_AND_PREPROCESSING_AUDIT.md,,frozen tag v2.3,Floating SMPLSim/Mink dependencies must be locked before the formal run.,supported
hist-phc-boundary,"PHC repository retargeting preprocessing is distinct from its learned physics controller, and its official G1 fitting asset is not canonical G1-29.",historical,official PHC retargeting documentation and scripts,PHC,,research/method_taxonomy.md,,frozen checkout,The 37-motor fitting output and controller are both excluded from the canonical retargeter scatter.,supported
hist-amass-preprocessing,"Frozen public methods apply materially different AMASS actor-shape, height, scale, root, temporal, ground, contact, and robot-asset policies.",historical,first-party frozen code audit,GMR; Holosoma; ProtoMotions v2.3/v3; PHC,,research/OFFICIAL_SCALE_AND_PREPROCESSING_AUDIT.md,,frozen revisions,"This is code-path evidence, not an AMASS dataset experiment.",supported
exp-common-scale,All primary quality metrics use one method-independent neutral-G1/source landmark scale.,experimental,frozen evaluator protocol,all core,common_static_scale,metrics/root_scale_diagnostics.csv,figures/root_scale_policies.svg,single frozen Pilot,Native method scales remain reported separately.,supported
exp-root-decomposition,"Root translation error is decomposed into common-scale, native-scale, and scale-invariant path-shape components.",experimental,evaluator v2,all core,root translation decomposition,metrics/root_scale_diagnostics.csv,figures/root_error_decomposition.svg,single frozen Pilot,No component is a dataset-level ranking.,supported
plan-scale-sensitivity,The revised Stage 1 requires pre-solver root/local scale perturbations and a controlled scale-policy transplant; post-hoc output decomposition is insufficient.,scope,pre-registered revised Stage 1 protocol,all required public retargeters,,configs/scale_policy_sensitivity.yaml,,revised Stage 1,No sensitivity result exists until all registered variants are rerun.,planned
exp-rfkpe,RF-KPE reports root-frame semantic keypoint preservation after common morphology scaling.,experimental,evaluator v2,all core,RF-KPE,metrics/core_summary.csv,figures/targeted_vs_untracked.svg,single frozen Pilot,"It removes global root translation and heading, so root tracking is separate.",supported
exp-sparse-seeds,Sparse null-space sensitivity is evaluated across three deterministic first-frame seeds.,experimental,controlled baseline runs,Controlled Sparse-IK,seed variance and pairwise divergence,metrics/sparse_seed_variance.csv,figures/sparse_seed_divergence.svg,single frozen Pilot,Three seeds diagnose sensitivity; they do not sample the full solution space.,supported
exp-interaction,Full versus No-Hard is reported only as a two-case interaction ablation.,experimental,official box and climb cases,OmniRetarget,"surface contact, penetration, foot sticking",metrics/interaction_summary.csv,figures/interaction_full_vs_no_hard.svg,two cases,Not dataset-level evidence.,supported
